,R_fighter,B_fighter,gender,weight_class,year,R_age,B_age,R_Stance,B_Stance,R_Weight_lbs,B_Weight_lbs,R_Reach_cms,B_Reach_cms,R_wins,B_wins,R_losses,B_losses,R_draw,B_draw,R_current_win_streak,B_current_win_streak,R_current_lose_streak,B_current_lose_streak,R_longest_win_streak,B_longest_win_streak,Winner
46,BJ Penn,Clay Guida,Men's,Lightweight,2019,40.0,37.0,Orthodox,Orthodox,155.0,155.0,177.8,177.8,12.0,14.0,14.0,12.0,0.0,0.0,0.0,0.0,7.0,1.0,3.0,4.0,Blue
47,Luana Carolina,Priscila Cachoeira,Women's,Women's Flyweight,2019,25.0,30.0,Orthodox,Orthodox,125.0,125.0,175.26,165.1,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,Red
48,Raoni Barcelos,Carlos Huachin,Men's,Bantamweight,2019,32.0,22.0,Orthodox,Southpaw,135.0,135.0,170.18,170.18,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,Red
49,Talita Bernardo,Viviane Araujo,Women's,Women's Bantamweight,2019,32.0,32.0,Orthodox,Orthodox,135.0,135.0,172.72,172.72,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Blue
50,Al Iaquinta,Donald Cerrone,Men's,Lightweight,2019,32.0,36.0,Orthodox,Orthodox,155.0,155.0,177.8,185.42,9.0,22.0,3.0,8.0,0.0,0.0,1.0,2.0,0.0,0.0,5.0,8.0,Blue
51,Derek Brunson,Elias Theodorou,Men's,Middleweight,2019,35.0,30.0,Southpaw,Orthodox,185.0,185.0,195.58,190.5,9.0,8.0,5.0,2.0,0.0,0.0,0.0,3.0,2.0,0.0,5.0,3.0,Red
52,Cub Swanson,Shane Burgos,Men's,Featherweight,2019,35.0,28.0,Orthodox,Orthodox,145.0,145.0,177.8,190.5,10.0,4.0,6.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,6.0,3.0,Blue
53,Brad Katona,Merab Dvalishvili,Men's,Bantamweight,2019,27.0,28.0,Orthodox,Orthodox,135.0,135.0,162.56,172.72,2.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,Blue
54,Walt Harris,Serghei Spivac,Men's,Heavyweight,2019,35.0,24.0,Southpaw,Orthodox,250.0,260.0,195.58,198.12,4.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,Red
55,Marc-Andre Barriault,Andrew Sanchez,Men's,Middleweight,2019,29.0,31.0,Orthodox,Orthodox,185.0,185.0,187.96,187.96,0.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,Blue
57,Aiemann Zahabi,Vince Morales,Men's,Bantamweight,2019,31.0,28.0,Orthodox,Orthodox,135.0,135.0,172.72,177.8,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,Blue
58,Nordine Taleb,Kyle Prepolec,Men's,Welterweight,2019,37.0,29.0,Orthodox,Southpaw,170.0,170.0,187.96,177.8,6.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,Red
59,Kyle Nelson,Matt Sayles,Men's,Featherweight,2019,28.0,25.0,Switch,Orthodox,155.0,145.0,180.34,172.72,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Blue
60,Arjan Bhullar,Juan Adams,Men's,Heavyweight,2019,32.0,27.0,Orthodox,Orthodox,245.0,265.0,190.5,203.2,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,Red
61,Mitch Gagnon,Cole Smith,Men's,Bantamweight,2019,34.0,30.0,Southpaw,Orthodox,135.0,135.0,165.1,170.18,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,Blue
62,Jacare Souza,Jack Hermansson,Men's,Middleweight,2019,39.0,30.0,Orthodox,Orthodox,185.0,185.0,182.88,195.58,9.0,6.0,3.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,5.0,3.0,Blue
63,Greg Hardy,Dmitrii Smoliakov,Men's,Heavyweight,2019,30.0,36.0,Orthodox,Switch,265.0,253.0,203.2,187.96,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,Red
64,Alex Oliveira,Mike Perry,Men's,Welterweight,2019,31.0,27.0,Orthodox,Orthodox,170.0,170.0,193.04,180.34,9.0,5.0,5.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,Blue
65,Glover Teixeira,Ion Cutelaba,Men's,Light Heavyweight,2019,39.0,25.0,Orthodox,Southpaw,205.0,205.0,193.04,190.5,11.0,3.0,5.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,5.0,2.0,Red
66,John Lineker,Cory Sandhagen,Men's,Bantamweight,2019,28.0,27.0,Orthodox,Switch,135.0,135.0,170.18,177.8,12.0,3.0,3.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,6.0,3.0,Blue
67,Roosevelt Roberts,Thomas Gifford,Men's,Lightweight,2019,25.0,26.0,Orthodox,Orthodox,155.0,155.0,185.42,190.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Red
68,Ben Saunders,Takashi Sato,Men's,Welterweight,2019,36.0,28.0,Orthodox,Southpaw,170.0,170.0,195.58,185.42,9.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,Blue
69,Andrei Arlovski,Augusto Sakai,Men's,Heavyweight,2019,40.0,27.0,Orthodox,Orthodox,240.0,265.0,195.58,195.58,16.0,1.0,12.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,7.0,1.0,Blue
71,Gilbert Burns,Mike Davis,Men's,Lightweight,2019,32.0,26.0,Orthodox,Orthodox,155.0,155.0,180.34,182.88,7.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,Red
72,Jim Miller,Jason Gonzalez,Men's,Lightweight,2019,35.0,29.0,Southpaw,Southpaw,155.0,155.0,180.34,187.96,18.0,1.0,13.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,1.0,Red
73,Angela Hill,Jodie Esquibel,Women's,Women's Strawweight,2019,34.0,32.0,Orthodox,Orthodox,115.0,115.0,162.56,162.56,3.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,Red
74,Court McGee,Dhiego Lima,Men's,Welterweight,2019,34.0,30.0,Orthodox,Orthodox,170.0,170.0,190.5,187.96,8.0,2.0,6.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,Blue
75,Alistair Overeem,Aleksei Oleinik,Men's,Heavyweight,2019,38.0,41.0,Orthodox,Orthodox,265.0,240.0,203.2,203.2,9.0,6.0,6.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,4.0,2.0,Red
76,Islam Makhachev,Arman Tsarukyan,Men's,Lightweight,2019,27.0,22.0,Orthodox,Orthodox,155.0,155.0,177.8,182.88,5.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,Red
